model_name,cpu_cores,mem_cap_gb,gpu_mode,gpu_name,batch_size,context_length,prediction_length,repeat_idx,warmup,latency_s,throughput_samples_per_s,avg_power_eff_w,peak_power_eff_w,energy_eff_j,cold_start_s,status,error
amazon/chronos-bolt-base,1,16,off,nan,1,1024,64,2,0,0.291041,3.435945,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,1024,64,3,0,0.291979,3.424901,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,1024,64,4,0,0.207277,4.824462,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,2048,64,0,1,0.395107,2.530960,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,2048,64,1,1,0.393722,2.539865,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,2048,64,0,0,0.392351,2.548737,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,2048,64,1,0,0.391256,2.555873,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,2048,64,2,0,0.389742,2.565798,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,2048,64,3,0,0.392511,2.547699,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,2048,64,4,0,0.389530,2.567194,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,64,64,0,1,0.053585,18.662029,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,64,64,1,1,0.045243,22.102799,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,64,64,0,0,0.093843,10.656088,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,64,64,1,0,0.086826,11.517338,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,64,64,2,0,0.092221,10.843527,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,64,64,3,0,0.091039,10.984354,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,64,64,4,0,0.091020,10.986586,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,128,64,0,1,0.093745,10.667266,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,128,64,1,1,0.102166,9.788037,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,128,64,0,0,0.091302,10.952625,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,128,64,1,0,0.082128,12.176073,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,128,64,2,0,0.089896,11.124003,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,128,64,3,0,0.045491,21.982219,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,128,64,4,0,0.155315,6.438545,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,256,64,0,1,0.100973,9.903678,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,256,64,1,1,0.101596,9.842912,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,256,64,0,0,0.099181,10.082615,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,256,64,1,0,0.088881,11.251036,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,256,64,2,0,0.100785,9.922152,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,256,64,3,0,0.094173,10.618707,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,256,64,4,0,0.093928,10.646490,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,512,64,0,1,0.101674,9.835318,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,512,64,1,1,0.156487,6.390287,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,512,64,0,0,0.101253,9.876251,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,512,64,1,0,0.101127,9.888554,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,512,64,2,0,0.106305,9.406906,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,512,64,3,0,0.101380,9.863880,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,512,64,4,0,0.102788,9.728756,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,1024,64,0,1,0.165510,6.041939,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,1024,64,1,1,0.110657,9.036968,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,1024,64,0,0,0.166057,6.022039,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,1024,64,1,0,0.114927,8.701151,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,1024,64,2,0,0.111033,9.006365,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,1024,64,3,0,0.163021,6.134193,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,1024,64,4,0,0.111090,9.001739,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,2048,64,0,1,0.187809,5.324554,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,2048,64,1,1,0.190385,5.252520,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,2048,64,0,0,0.131303,7.615966,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,2048,64,1,0,0.187533,5.332393,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,2048,64,2,0,0.190261,5.255949,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,2048,64,3,0,0.189918,5.265425,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,2,off,nan,1,2048,64,4,0,0.188278,5.311284,nan,nan,nan,3.651,ok,
amazon/chronos-bolt-base,2,4,off,nan,1,64,64,0,1,0.256009,3.906119,nan,nan,nan,3.774,ok,
amazon/chronos-bolt-base,2,4,off,nan,1,64,64,1,1,0.097371,10.270047,nan,nan,nan,3.774,ok,
amazon/chronos-bolt-base,2,4,off,nan,1,64,64,0,0,0.103598,9.652666,nan,nan,nan,3.774,ok,
amazon/chronos-bolt-base,2,4,off,nan,1,64,64,1,0,0.091792,10.894255,nan,nan,nan,3.774,ok,
amazon/chronos-bolt-base,2,4,off,nan,1,64,64,2,0,0.087612,11.414026,nan,nan,nan,3.774,ok,
amazon/chronos-bolt-base,2,4,off,nan,1,64,64,3,0,0.088560,11.291810,nan,nan,nan,3.774,ok,
amazon/chronos-bolt-base,2,4,off,nan,1,64,64,4,0,0.094767,10.552155,nan,nan,nan,3.774,ok,
amazon/chronos-bolt-base,2,4,off,nan,1,128,64,0,1,0.086718,11.531648,nan,nan,nan,3.774,ok,
amazon/chronos-bolt-base,2,4,off,nan,1,128,64,1,1,0.093255,10.723311,nan,nan,nan,3.774,ok,
amazon/chronos-bolt-base,2,4,off,nan,1,128,64,0,0,0.085211,11.735601,nan,nan,nan,3.774,ok,
amazon/chronos-bolt-base,2,4,off,nan,1,128,64,1,0,0.089804,11.135348,nan,nan,nan,3.774,ok,
amazon/chronos-bolt-base,2,4,off,nan,1,128,64,2,0,0.091216,10.963029,nan,nan,nan,3.774,ok,
